symbol,price,price_change,price_percent_change,timestamp,source
RGC,14.09,9.89,235.48,2025-03-13 21:01:19,wsj
MCRP,4.24,1.7,66.66,2025-03-13 21:01:19,wsj
HMR,4.08,1.53,60.0,2025-03-13 21:01:19,wsj
LZMH,13.01,4.83,59.05,2025-03-13 21:01:19,wsj
AVAH,5.14,1.4,37.43,2025-03-13 21:01:19,wsj
SSP,2.73,0.68,33.17,2025-03-13 21:01:19,wsj
QMCO,14.82,3.56,31.62,2025-03-13 21:01:19,wsj
WLGS,4.04,0.92,29.49,2025-03-13 21:01:19,wsj
MGTX,8.25,1.84,28.71,2025-03-13 21:01:19,wsj
XCUR,13.22,2.65,25.07,2025-03-13 21:01:19,wsj
UBXG,3.84,0.72,23.09,2025-03-13 21:01:19,wsj
MCTR,7.01,1.26,21.87,2025-03-13 21:01:19,wsj
YOSH,18.0,3.12,20.97,2025-03-13 21:01:19,wsj
AMBR,11.0,1.76,19.05,2025-03-13 21:01:19,wsj
QBTS,6.91,1.09,18.73,2025-03-13 21:01:19,wsj
RAIL,7.32,1.09,17.5,2025-03-13 21:01:19,wsj
IH,2.59,0.38,17.19,2025-03-13 21:01:19,wsj
ATLN,6.0,0.86,16.73,2025-03-13 21:01:19,wsj
RIME,2.46,0.35,16.59,2025-03-13 21:01:19,wsj
FFNW,22.64,3.09,15.81,2025-03-13 21:01:19,wsj
CURR,3.46,0.47,15.72,2025-03-13 21:01:19,wsj
CSCI,3.11,0.42,15.61,2025-03-13 21:01:19,wsj
EDBL,2.4,0.31,14.83,2025-03-13 21:01:19,wsj
UFG,4.66,0.6,14.78,2025-03-13 21:01:19,wsj
INTC,23.7,3.02,14.6,2025-03-13 21:01:19,wsj
OPRX,7.15,0.87,13.85,2025-03-13 21:01:19,wsj
AVDX,7.84,0.95,13.79,2025-03-13 21:01:19,wsj
YSG,4.9,0.59,13.69,2025-03-13 21:01:19,wsj
ZSPC,11.19,1.33,13.49,2025-03-13 21:01:19,wsj
SUUN,4.92,0.57,13.1,2025-03-13 21:01:19,wsj
CNL,7.81,0.9,13.02,2025-03-13 21:01:19,wsj
ATYR,3.99,0.44,12.39,2025-03-13 21:01:19,wsj
IPDN,2.36,0.26,12.22,2025-03-13 21:01:19,wsj
CYN,4.88,0.5,11.42,2025-03-13 21:01:19,wsj
SHLS,3.26,0.32,10.88,2025-03-13 21:01:19,wsj
FN,223.66,21.78,10.79,2025-03-13 21:01:19,wsj
KRRO,24.66,2.29,10.24,2025-03-13 21:01:19,wsj
MTEN,5.01,0.46,10.11,2025-03-13 21:01:19,wsj
BBCP,5.46,0.5,10.08,2025-03-13 21:01:19,wsj
IDR,12.66,1.15,9.99,2025-03-13 21:01:19,wsj
PHLT,2.77,0.25,9.92,2025-03-13 21:01:19,wsj
NABL,7.84,0.69,9.65,2025-03-13 21:01:19,wsj
AZ,6.53,0.57,9.56,2025-03-13 21:01:19,wsj
JG,9.85,0.83,9.2,2025-03-13 21:01:19,wsj
ARMN,4.43,0.37,9.11,2025-03-13 21:01:19,wsj
NN,11.2,0.93,9.06,2025-03-13 21:01:19,wsj
AG,6.68,0.54,8.79,2025-03-13 21:01:19,wsj
YALA,4.8,0.38,8.6,2025-03-13 21:01:19,wsj
METC,9.62,0.76,8.58,2025-03-13 21:01:19,wsj
CPRI,21.12,1.64,8.42,2025-03-13 21:01:19,wsj
BMEA,2.66,0.2,8.13,2025-03-13 21:01:19,wsj
NVCT,8.35,0.61,7.88,2025-03-13 21:01:19,wsj
MWYN,4.3,0.3,7.5,2025-03-13 21:01:19,wsj
JUNE,5.15,0.35,7.29,2025-03-13 21:01:19,wsj
ASTL,6.24,0.42,7.22,2025-03-13 21:01:19,wsj
CNSP,2.71,0.18,7.11,2025-03-13 21:01:19,wsj
MRCY,45.08,2.98,7.08,2025-03-13 21:01:19,wsj
BLDE,3.03,0.2,7.07,2025-03-13 21:01:19,wsj
PHR,25.45,1.65,6.93,2025-03-13 21:01:19,wsj
FWRD,18.87,1.22,6.91,2025-03-13 21:01:19,wsj
DG,79.95,5.1,6.81,2025-03-13 21:01:19,wsj
BWMN,23.5,1.49,6.77,2025-03-13 21:01:19,wsj
LOGC,7.51,0.47,6.68,2025-03-13 21:01:19,wsj
DLTR,66.0,4.08,6.59,2025-03-13 21:01:19,wsj
SUP,2.14,0.13,6.47,2025-03-13 21:01:19,wsj
ZBIO,8.73,0.52,6.33,2025-03-13 21:01:19,wsj
GRPN,14.86,0.88,6.29,2025-03-13 21:01:19,wsj
SVRA,2.76,0.16,6.15,2025-03-13 21:01:19,wsj
SRDX,28.32,1.61,6.03,2025-03-13 21:01:19,wsj
NG,3.45,0.19,5.83,2025-03-13 21:01:19,wsj
PHVS,16.91,0.9,5.62,2025-03-13 21:01:19,wsj
ORLA,8.29,0.44,5.61,2025-03-13 21:01:19,wsj
CMTG,3.61,0.19,5.56,2025-03-13 21:01:19,wsj
MOMO,7.17,0.37,5.44,2025-03-13 21:01:19,wsj
BZAI,3.49,0.18,5.44,2025-03-13 21:01:19,wsj
AVDL,8.39,0.43,5.4,2025-03-13 21:01:19,wsj
FLD,6.87,0.35,5.37,2025-03-13 21:01:19,wsj
TIL,19.06,0.97,5.36,2025-03-13 21:01:19,wsj
SCHL,20.05,1.02,5.36,2025-03-13 21:01:19,wsj
ALGM,26.24,1.3,5.21,2025-03-13 21:01:19,wsj
BTG,2.9,0.14,5.07,2025-03-13 21:01:19,wsj
SLNO,49.03,2.33,4.99,2025-03-13 21:01:19,wsj
NIU,2.57,0.12,4.9,2025-03-13 21:01:19,wsj
NGD,3.23,0.15,4.87,2025-03-13 21:01:19,wsj
ANIX,2.81,0.13,4.85,2025-03-13 21:01:19,wsj
WYHG,10.18,0.47,4.84,2025-03-13 21:01:19,wsj
SKBL,10.73,0.49,4.79,2025-03-13 21:01:19,wsj
ACNT,12.34,0.56,4.75,2025-03-13 21:01:19,wsj
TRML,17.04,0.77,4.73,2025-03-13 21:01:19,wsj
GDOT,6.64,0.3,4.73,2025-03-13 21:01:19,wsj
DXF,6.26,0.28,4.68,2025-03-13 21:01:19,wsj
NEM,45.65,2.02,4.63,2025-03-13 21:01:19,wsj
CBUS,2.26,0.1,4.63,2025-03-13 21:01:19,wsj
MDCX,3.44,0.15,4.56,2025-03-13 21:01:19,wsj
SSRM,10.7,0.46,4.49,2025-03-13 21:01:19,wsj
HAIN,4.34,0.18,4.45,2025-03-13 21:01:19,wsj
EGO,15.3,0.65,4.44,2025-03-13 21:01:19,wsj
VOXR,2.6,0.11,4.42,2025-03-13 21:01:19,wsj
HRTG,12.53,0.53,4.42,2025-03-13 21:01:19,wsj
HYMC,2.85,0.12,4.4,2025-03-13 21:01:19,wsj
