,symbol,price,price_change,price_percent_change,timestamp
0,RGC,6.32,2.12,50.48,2025-03-13 14:29:07
1,SSP,2.66,0.6,29.51,2025-03-13 14:29:07
2,HMR,3.28,0.73,28.82,2025-03-13 14:29:07
3,AVAH,4.77,1.03,27.49,2025-03-13 14:29:07
4,RAIL,7.68,1.45,23.27,2025-03-13 14:29:07
5,MGTX,7.85,1.44,22.46,2025-03-13 14:29:07
6,OPRX,7.53,1.25,19.9,2025-03-13 14:29:07
7,NN,12.2,1.93,18.74,2025-03-13 14:29:07
8,BLDE,3.31,0.48,16.96,2025-03-13 14:29:07
9,INTC,24.04,3.37,16.27,2025-03-13 14:29:07
10,WLGS,3.62,0.5,16.03,2025-03-13 14:29:07
11,CBUS,2.5,0.34,15.74,2025-03-13 14:29:07
12,QBTS,6.73,0.91,15.64,2025-03-13 14:29:07
13,GIII,28.92,3.58,14.15,2025-03-13 14:29:07
14,CURR,3.38,0.39,13.04,2025-03-13 14:29:07
15,CMTG,3.84,0.41,12.13,2025-03-13 14:29:07
16,CRVO,6.91,0.74,11.99,2025-03-13 14:29:07
17,FN,224.96,23.08,11.43,2025-03-13 14:29:07
18,YALA,4.92,0.49,11.2,2025-03-13 14:29:07
19,SHLS,3.26,0.33,11.05,2025-03-13 14:29:07
20,NABL,7.89,0.74,10.35,2025-03-13 14:29:07
21,QMCO,12.37,1.11,9.88,2025-03-13 14:29:07
22,SVRA,2.84,0.24,9.23,2025-03-13 14:29:07
23,NCMI,6.04,0.51,9.22,2025-03-13 14:29:07
24,BBW,38.74,3.24,9.13,2025-03-13 14:29:07
25,METC,9.66,0.8,9.03,2025-03-13 14:29:07
26,DG,80.92,6.07,8.1,2025-03-13 14:29:07
27,DLTR,66.92,5.0,8.07,2025-03-13 14:29:07
28,YSG,4.64,0.33,7.66,2025-03-13 14:29:07
29,ASTL,6.26,0.44,7.56,2025-03-13 14:29:07
30,ALGM,26.8,1.86,7.46,2025-03-13 14:29:07
31,ARMN,4.36,0.3,7.39,2025-03-13 14:29:07
32,MODV,2.43,0.15,6.58,2025-03-13 14:29:07
33,IPDN,2.24,0.14,6.51,2025-03-13 14:29:07
34,CRNT,2.65,0.16,6.42,2025-03-13 14:29:07
35,MLGO,4.18,0.22,5.56,2025-03-13 14:29:07
36,BBCP,5.23,0.27,5.44,2025-03-13 14:29:07
37,RLAY,3.86,0.2,5.33,2025-03-13 14:29:07
38,DBI,3.42,0.17,5.08,2025-03-13 14:29:07
39,GTN,4.32,0.2,4.99,2025-03-13 14:29:07
40,MRCY,44.18,2.08,4.94,2025-03-13 14:29:07
41,VG,10.75,0.5,4.88,2025-03-13 14:29:07
42,ABUS,3.34,0.15,4.86,2025-03-13 14:29:07
43,EH,22.65,1.02,4.72,2025-03-13 14:29:07
44,MRNA,36.62,1.61,4.61,2025-03-13 14:29:07
45,ARVN,9.44,0.41,4.49,2025-03-13 14:29:07
46,BMEA,2.57,0.11,4.47,2025-03-13 14:29:07
47,ACNT,12.3,0.52,4.41,2025-03-13 14:29:07
48,AES,12.35,0.52,4.39,2025-03-13 14:29:07
49,UPLD,3.23,0.13,4.19,2025-03-13 14:29:07
50,INMD,18.92,0.76,4.19,2025-03-13 14:29:07
51,AEHR,9.25,0.37,4.17,2025-03-13 14:29:07
52,RNA,33.93,1.32,4.05,2025-03-13 14:29:07
53,GRRR,29.07,1.13,4.04,2025-03-13 14:29:07
54,BIDU,96.11,3.71,4.02,2025-03-13 14:29:07
55,EPWK,4.93,0.19,4.01,2025-03-13 14:29:07
56,ALLT,5.47,0.21,3.99,2025-03-13 14:29:07
57,AG,6.38,0.24,3.97,2025-03-13 14:29:07
58,GDOT,6.59,0.25,3.94,2025-03-13 14:29:07
59,FIS,70.8,2.68,3.93,2025-03-13 14:29:07
60,VIOT,2.24,0.08,3.74,2025-03-13 14:29:07
61,QUBT,5.62,0.2,3.69,2025-03-13 14:29:07
62,PAGS,7.64,0.27,3.6,2025-03-13 14:29:07
63,NGD,3.19,0.11,3.57,2025-03-13 14:29:07
64,CTRE,27.97,0.96,3.55,2025-03-13 14:29:07
65,SNES,2.38,0.08,3.55,2025-03-13 14:29:07
66,F,9.93,0.34,3.55,2025-03-13 14:29:07
67,OII,20.05,0.69,3.54,2025-03-13 14:29:07
68,NEM,45.17,1.54,3.53,2025-03-13 14:29:07
69,PCRX,22.82,0.78,3.52,2025-03-13 14:29:07
70,VSH,17.11,0.58,3.51,2025-03-13 14:29:07
71,AVTR,16.34,0.55,3.48,2025-03-13 14:29:07
72,ALKT,25.12,0.84,3.46,2025-03-13 14:29:07
73,WOLF,5.42,0.18,3.44,2025-03-13 14:29:07
74,CYBN,7.59,0.25,3.41,2025-03-13 14:29:07
75,SCCO,93.39,3.05,3.38,2025-03-13 14:29:07
76,VSAT,9.71,0.31,3.3,2025-03-13 14:29:07
77,NVO,77.24,2.46,3.28,2025-03-13 14:29:07
78,HUN,17.06,0.54,3.27,2025-03-13 14:29:07
79,MODG,6.34,0.2,3.26,2025-03-13 14:29:07
80,CLMT,11.5,0.36,3.23,2025-03-13 14:29:07
81,DK,14.8,0.46,3.21,2025-03-13 14:29:07
82,RCAT,5.11,0.16,3.15,2025-03-13 14:29:07
83,JD,41.64,1.27,3.15,2025-03-13 14:29:07
84,ORLA,8.1,0.24,3.12,2025-03-13 14:29:07
85,FRO,16.06,0.48,3.11,2025-03-13 14:29:07
86,CDNS,246.66,7.44,3.11,2025-03-13 14:29:07
87,LPG,21.55,0.65,3.11,2025-03-13 14:29:07
88,MOMO,7.01,0.21,3.09,2025-03-13 14:29:07
89,SSRM,10.55,0.31,3.03,2025-03-13 14:29:07
90,CNTA,17.58,0.52,3.02,2025-03-13 14:29:07
91,PLAB,21.46,0.63,3.0,2025-03-13 14:29:07
92,MCHP,53.46,1.55,3.0,2025-03-13 14:29:07
93,LAR,2.26,0.07,2.97,2025-03-13 14:29:07
94,FCX,37.87,1.09,2.96,2025-03-13 14:29:07
95,UMAC,6.28,0.18,2.95,2025-03-13 14:29:07
96,DOW,36.8,1.05,2.94,2025-03-13 14:29:07
97,EGO,15.08,0.43,2.94,2025-03-13 14:29:07
98,BWLP,11.01,0.31,2.9,2025-03-13 14:29:07
99,HNRG,10.12,0.28,2.85,2025-03-13 14:29:07
